N,Tiempo
100,0.00038
200,0.00178
300,0.00566
400,0.00695
500,0.01062
600,0.01839
700,0.02855
800,0.03769
900,0.04465
1000,0.05244
1100,0.06059
1200,0.07182
1300,0.08711
1400,0.10035
1500,0.1191
1600,0.13595
1700,0.15238
1800,0.18281
1900,0.20437
2000,0.22372
2100,0.23592
2200,0.25861
2300,0.28885
2400,0.31397
2500,0.34169
2600,0.37087
2700,0.39499
2800,0.43257
2900,0.45963
3000,0.49021
3100,0.52764
3200,0.60506
3300,0.60805
3400,0.6423
3500,0.68332
3600,0.71502
3700,0.75933
3800,0.81026
3900,0.85193
4000,0.8979
4100,0.94904
4200,0.98683
4300,1.07317
4400,1.09469
4500,1.15798
4600,1.24808
4700,1.2978
4800,1.30625
4900,1.37001
5000,1.4471
