N,Tiempo
100,0.00017
200,0.00066
300,0.00189
400,0.00326
500,0.00561
600,0.0086
700,0.00823
800,0.01221
900,0.01515
1000,0.01917
1100,0.02218
1200,0.02655
1300,0.03591
1400,0.03954
1500,0.06749
1600,0.04525
1700,0.05022
1800,0.06061
1900,0.06602
2000,0.07528
2100,0.07973
2200,0.08869
2300,0.09851
2400,0.10506
2500,0.11371
2600,0.12433
2700,0.13265
2800,0.14357
2900,0.15064
3000,0.16288
3100,0.18797
3200,0.20427
3300,0.20778
3400,0.21793
3500,0.22571
3600,0.23716
3700,0.25386
3800,0.26625
3900,0.27329
4000,0.29108
4100,0.30524
4200,0.32474
4300,0.34293
4400,0.35321
4500,0.37279
4600,0.3886
4700,0.40199
4800,0.42679
4900,0.43583
5000,0.45268
