N,Tiempo
100,0.00023
200,0.00026
300,0.00041
400,0.00056
500,0.00093
600,0.00098
700,0.00185
800,0.00198
900,0.00223
1000,0.00223
1100,0.00182
1200,0.00223
1300,0.00208
1400,0.00244
1500,0.0025
1600,0.00239
1700,0.00375
1800,0.00316
1900,0.00468
2000,0.00333
2100,0.00469
2200,0.00426
2300,0.00433
2400,0.00678
2500,0.00444
2600,0.00444
2700,0.00593
2800,0.00596
2900,0.00501
3000,0.00702
3100,0.00559
3200,0.00754
3300,0.00724
3400,0.0066
3500,0.00666
3600,0.00631
3700,0.00651
3800,0.00921
3900,0.00719
4000,0.0089
4100,0.0071
4200,0.01008
4300,0.0094
4400,0.00881
4500,0.00884
4600,0.00954
4700,0.00978
4800,0.00862
4900,0.01033
5000,0.00961
