N,Tiempo
100,0.00012
200,0.00022
300,0.00031
400,0.00045
500,0.00062
600,0.0009
700,0.00165
800,0.00127
900,0.00198
1000,0.00198
1100,0.0013
1200,0.00161
1300,0.00181
1400,0.00215
1500,0.0028
1600,0.0023
1700,0.00226
1800,0.00395
1900,0.0027
2000,0.00391
2100,0.00313
2200,0.00499
2300,0.0035
2400,0.00598
2500,0.00353
2600,0.00482
2700,0.00622
2800,0.00436
2900,0.0048
3000,0.00547
3100,0.00582
3200,0.00534
3300,0.00616
3400,0.00552
3500,0.00797
3600,0.00839
3700,0.00654
3800,0.00802
3900,0.00669
4000,0.00891
4100,0.00786
4200,0.02449
4300,0.01421
4400,0.00776
4500,0.00798
4600,0.00815
4700,0.00894
4800,0.00972
4900,0.00888
5000,0.00901
