N,Tiempo
100,0.00019
200,0.00071
300,0.00198
400,0.0031
500,0.00592
600,0.00899
700,0.00974
800,0.01182
900,0.02123
1000,0.02061
1100,0.03606
1200,0.03676
1300,0.0358
1400,0.03775
1500,0.04471
1600,0.05359
1700,0.05476
1800,0.06273
1900,0.11341
2000,0.07359
2100,0.08371
2200,0.09234
2300,0.10284
2400,0.11573
2500,0.12003
2600,0.12759
2700,0.13955
2800,0.14855
2900,0.15952
3000,0.20967
3100,0.1935
3200,0.20338
3300,0.21308
3400,0.2209
3500,0.23708
3600,0.24532
3700,0.25829
3800,0.27733
3900,0.29239
4000,0.30103
4100,0.31983
4200,0.35239
4300,0.34944
4400,0.36476
4500,0.38717
4600,0.41624
4700,0.46027
4800,0.43442
4900,0.47425
5000,0.47676
